Support_received_for_Striga,Institutions_that_provided_the_support_for_striga,other_institutions_that_provided_support_for_striga,PARENT_KEY,KEY
Mechanically_Remove_The_Insect,Send_A_Cow,,uuid:71fea1b6-0a4e-4575-9f25-caeb96c706fe,uuid:71fea1b6-0a4e-4575-9f25-caeb96c706fe/sclamp/Striga_Support[1]
Mechanically_Remove_The_Insect,Send_A_Cow,,uuid:f8c6e72c-d788-4ce6-accb-d3317aaf0235,uuid:f8c6e72c-d788-4ce6-accb-d3317aaf0235/sclamp/Striga_Support[1]
Training_on_Pest_and_disease_mngt,Govt_extension_agent,,uuid:10f3f0fd-377f-4bbb-8f40-b76ab2cb1e2a,uuid:10f3f0fd-377f-4bbb-8f40-b76ab2cb1e2a/sclamp/Striga_Support[1]
Improved_seed,Send_A_Cow,,uuid:13e05321-3ad1-477a-898a-f2ae74f4d31b,uuid:13e05321-3ad1-477a-898a-f2ae74f4d31b/sclamp/Striga_Support[1]
