plot_id,plot_info_id,plot_location,main_crop_onplot,Season,plot_area_hectare,plot_tenure,other_plot_tenure,hh_decision,plot_soil_fertility,surrounding_plot,other_surrounding_plot,intercropping_plot,push_pull_plot,plot_irrigated,fertilizer_on,insecticide_on,herbicide_on,harvested_dry,crop_suffer_FAW,perc_lost_FAW,crop_suffer_Sborer,perc_lost_Sborer,crop_suffer_Striga,perc_lost_Striga,crop_suffer_TutaAbsoluta,percent_lost_TutaAbsoluta,FAW_first_strategy-control_FAW_one,FAW_first_strategy-specify_other_strategy_FAW_one,FAW_first_strategy-effectiveness_FAW_one,FAW_second_strategy-control_FAW_two,FAW_second_strategy-specify_other_strategy_FAW_two,FAW_second_strategy-effectiveness_FAW_two,FAW_third_strategy-control_FAW_three,FAW_third_strategy-specify_other_strategy_FAW_three,FAW_third_strategy-effectiveness_FAW_three,Stemborer_first_strategy-control_Stemborer_first,Stemborer_first_strategy-specify_other_strategy_Stemborer_first,Stemborer_first_strategy-effectiveness_Stemborer_first,Stemborer_second_strategy-control_Stemborer_second,Stemborer_second_strategy-specify_other_strategy_Stemborer_second,Stemborer_second_strategy-effectiveness_Stemborer_second,Stemborer_third_strategy-control_Stemborer_third,Stemborer_third_strategy-specify_other_strategy_Stemborer_third,Stemborer_third_strategy-effectiveness_Stemborer_third,Striga_first_strategy-control_Striga_first,Striga_first_strategy-specify_other_Striga_first,Striga_first_strategy-effective_control_Striga_first,Striga_second_strategy-control_Striga_second,Striga_second_strategy-specify_other_Striga_second,Striga_second_strategy-effective_control_Striga_second,Striga_third_strategy-control_Striga_third,Striga_third_strategy-specify_other_Striga_third,Striga_third_strategy-effective_control_Striga_third,TutaAbsoluta_first_strategy_count,TutaAbsoluta_first_strategy-control_TutaAbsoluta_first,TutaAbsoluta_first_strategy-other_strategies_control_TutaAbsoluta_first,TutaAbsoluta_first_strategy-effective_strategy_control_TutaAbsoluta_first,TutaAbsoluta_second_strategy_count,TutaAbsoluta_second_strategy-control_TutaAbsoluta_second,TutaAbsoluta_second_strategy-other_strategies_control_TutaAbsoluta_second,TutaAbsoluta_second_strategy-effective_strategy_control_TutaAbsoluta_second,TutaAbsoluta_third_strategy_count,TutaAbsoluta_third_strategy-control_TutaAbsoluta_third,TutaAbsoluta_third_strategy-other_strategies_control_TutaAbsoluta_third,TutaAbsoluta_third_strategy-effective_strategy_control_TutaAbsoluta_third,constraints_for_maize_production_count,constraints_for_tomato_production_count,PARENT_KEY,KEY
202107073316,2,Garo,Tomato,Short_rain_season_ShortRain,0.0625,Owned,,Head_and_other_household_member,Good,Farmeland,,No,,No,No,No,No,100.0,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,,,3,,,,3,3,uuid:77b0a89b-632e-4696-a7a3-7b83b1cb1879,uuid:77b0a89b-632e-4696-a7a3-7b83b1cb1879/sclamp/Season_Information[2]
202107070207,1,Shoga,Maize,Short_rain_season_ShortRain,0.125,Owned,,Head_and_spouse_jointly,Good,Farmeland,,No,No,No,No,No,No,300.0,No,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,,,3,,,,3,3,uuid:1eed75a8-e85f-4701-8787-ea2f25028593,uuid:1eed75a8-e85f-4701-8787-ea2f25028593/sclamp/Season_Information[1]
202107071336,2,Garo,Tomato,Long_rain_season_LongRain,0.0625,Owned,,Head_and_spouse_jointly,Good,Farmeland,,No,,No,No,No,No,100.0,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,,,3,,,,3,3,uuid:1eed75a8-e85f-4701-8787-ea2f25028593,uuid:1eed75a8-e85f-4701-8787-ea2f25028593/sclamp/Season_Information[2]
202107074121,1,Bossa,Maize,Short_rain_season_ShortRain,0.25,Owned,,Head_,Good,Farmeland,,No,No,No,No,No,No,450.0,No,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,,,3,,,,3,3,uuid:b09de512-4f6a-4f3a-8f62-db05e5eb7a2d,uuid:b09de512-4f6a-4f3a-8f62-db05e5eb7a2d/sclamp/Season_Information[1]
202107075130,2,Garo,Tomato,Long_rain_season_LongRain,0.0625,Owned,,Head_,Good,Farmeland,,No,,No,No,No,No,150.0,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,,,3,,,,3,3,uuid:b09de512-4f6a-4f3a-8f62-db05e5eb7a2d,uuid:b09de512-4f6a-4f3a-8f62-db05e5eb7a2d/sclamp/Season_Information[2]
202107073210,1,Goro,Tomato,Long_rain_season_LongRain,0.125,Owned,,Head_,Medium,Settlement,,No,,Yes,No,No,No,175.0,,,,,,,Yes,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Mechanically_Remove_The_Insect,,Low,3,None,,,3,,,,3,3,uuid:9671e58d-3355-4e0d-a3e4-fa348b68a067,uuid:9671e58d-3355-4e0d-a3e4-fa348b68a067/sclamp/Season_Information[1]
202107075516,1,Koyes,Maize,Short_rain_season_ShortRain,0.75,Owned,,Head_and_spouse_jointly,Medium,Farmeland,,Yes,Yes,No,No,No,No,700.0,No,,Yes,15.0,No,,,,,,,,,,,,,Mechanically_Remove_The_Insect,,Medium,None,,,,,,,,,,,,,,,3,,,,3,,,,3,,,,3,3,uuid:566e72c7-73c0-4660-85c4-1e5c39531165,uuid:566e72c7-73c0-4660-85c4-1e5c39531165/sclamp/Season_Information[1]
202107071152,2,Goro ,Tomato,Long_rain_season_LongRain,0.01,Owned,,Head_and_spouse_jointly,Medium,Settlement,,No,,Yes,No,No,No,300.0,,,,,,,Yes,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Mechanically_Remove_The_Insect,,Medium,3,None,,,3,,,,3,3,uuid:566e72c7-73c0-4660-85c4-1e5c39531165,uuid:566e72c7-73c0-4660-85c4-1e5c39531165/sclamp/Season_Information[2]
202107073740,1,Goro ,Tomato,Long_rain_season_LongRain,0.125,Owned,,Head_and_spouse_jointly,Medium,Settlement,,No,,Yes,No,No,No,50.0,,,,,,,Yes,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Mechanically_Remove_The_Insect,,Medium,3,None,,,3,,,,3,3,uuid:51a4f267-eeac-47ab-9111-24c2cd921f43,uuid:51a4f267-eeac-47ab-9111-24c2cd921f43/sclamp/Season_Information[1]
202107071208,1,Goro ,Maize,Long_rain_season_LongRain,0.25,Owned,,Head_and_spouse_jointly,Medium,Settlement,,No,No,No,No,No,No,150.0,No,,Yes,25.0,No,,,,,,,,,,,,,Mechanically_Remove_The_Insect,,Medium,None,,,,,,,,,,,,,,,3,,,,3,,,,3,,,,3,3,uuid:df048984-c2e4-44f8-accf-f2e727b8634f,uuid:df048984-c2e4-44f8-accf-f2e727b8634f/sclamp/Season_Information[1]
